album_name,track_title,track_n,lyric,line
Red (Deluxe Edition),State of Grace,1,I'm walking fast through the traffic lights,1
Red (Deluxe Edition),State of Grace,1,Busy streets and busy lives,2
Red (Deluxe Edition),State of Grace,1,And all we know is touch and go,3
Red (Deluxe Edition),State of Grace,1,We are alone with our changing minds,4
Red (Deluxe Edition),State of Grace,1,We fall in love 'til it hurts or bleeds,5
Red (Deluxe Edition),State of Grace,1,Or fades in time,6
Red (Deluxe Edition),State of Grace,1,And I never (Never),7
Red (Deluxe Edition),State of Grace,1,Saw you coming,8
Red (Deluxe Edition),State of Grace,1,And I’ll never (Never),9
Red (Deluxe Edition),State of Grace,1,Be the same,10
Red (Deluxe Edition),State of Grace,1,You come around and the armor falls,11
Red (Deluxe Edition),State of Grace,1,Pierce the room like a cannonball,12
Red (Deluxe Edition),State of Grace,1,Now all we know is don’t let go,13
Red (Deluxe Edition),State of Grace,1,"We are alone, just you and me",14
Red (Deluxe Edition),State of Grace,1,Up in your room and our slates are clean,15
Red (Deluxe Edition),State of Grace,1,"Just twin fire signs, four blue eyes",16
Red (Deluxe Edition),State of Grace,1,So you were never a saint,17
Red (Deluxe Edition),State of Grace,1,And I've loved in shades of wrong,18
Red (Deluxe Edition),State of Grace,1,We learn to live with the pain,19
Red (Deluxe Edition),State of Grace,1,Mosaic broken hearts,20
Red (Deluxe Edition),State of Grace,1,But this love is brave and wild,21
Red (Deluxe Edition),State of Grace,1,And I never (Never),22
Red (Deluxe Edition),State of Grace,1,Saw you coming,23
Red (Deluxe Edition),State of Grace,1,And I’ll never (Never),24
Red (Deluxe Edition),State of Grace,1,Be the same,25
Red (Deluxe Edition),State of Grace,1,This is a state of grace,26
Red (Deluxe Edition),State of Grace,1,This is the worthwhile fight,27
Red (Deluxe Edition),State of Grace,1,Love is a ruthless game,28
Red (Deluxe Edition),State of Grace,1,Unless you play it good and right,29
Red (Deluxe Edition),State of Grace,1,These are the hands of fate,30
Red (Deluxe Edition),State of Grace,1,You’re my Achilles heel,31
Red (Deluxe Edition),State of Grace,1,This is the golden age,32
Red (Deluxe Edition),State of Grace,1,Of something good and right and real,33
Red (Deluxe Edition),State of Grace,1,And I never (Never),34
Red (Deluxe Edition),State of Grace,1,Saw you coming,35
Red (Deluxe Edition),State of Grace,1,And I’ll never,36
Red (Deluxe Edition),State of Grace,1,Be the same,37
Red (Deluxe Edition),State of Grace,1,And I never (Never),38
Red (Deluxe Edition),State of Grace,1,Saw you coming,39
Red (Deluxe Edition),State of Grace,1,And I’ll never (So you were never a saint),40
Red (Deluxe Edition),State of Grace,1,(And I've loved in shades of wrong),41
Red (Deluxe Edition),State of Grace,1,Be the same (We learn to live with the pain),42
Red (Deluxe Edition),State of Grace,1,(Mosaic broken hearts),43
Red (Deluxe Edition),State of Grace,1,(But this love is brave and wild),44
Red (Deluxe Edition),State of Grace,1,This is a state of grace,45
Red (Deluxe Edition),State of Grace,1,This is the worthwhile fight,46
Red (Deluxe Edition),State of Grace,1,Love is a ruthless game,47
Red (Deluxe Edition),State of Grace,1,Unless you play it good and right,48
Red (Deluxe Edition),Red,2,Loving him is like,1
Red (Deluxe Edition),Red,2,Driving a new Maserati down a dead-end street,2
Red (Deluxe Edition),Red,2,"Faster than the wind, passionate as sin",3
Red (Deluxe Edition),Red,2,Ending so suddenly,4
Red (Deluxe Edition),Red,2,Loving him is like trying to change your mind,5
Red (Deluxe Edition),Red,2,Once you're already flying through the free fall,6
Red (Deluxe Edition),Red,2,"Like the colors in autumn, so bright",7
Red (Deluxe Edition),Red,2,Just before they lose it all,8
Red (Deluxe Edition),Red,2,Losing him was blue like I'd never known,9
Red (Deluxe Edition),Red,2,"Missing him was dark gray, all alone",10
Red (Deluxe Edition),Red,2,Forgetting him was like,11
Red (Deluxe Edition),Red,2,Trying to know somebody you never met,12
Red (Deluxe Edition),Red,2,But loving him was red,13
Red (Deluxe Edition),Red,2,"(Red, red)",14
Red (Deluxe Edition),Red,2,"(Red, red)",15
Red (Deluxe Edition),Red,2,Loving him was red,16
Red (Deluxe Edition),Red,2,"(Red, red)",17
Red (Deluxe Edition),Red,2,"(Red, red)",18
Red (Deluxe Edition),Red,2,Touching him was like,19
Red (Deluxe Edition),Red,2,Realizing all you ever wanted was right there in front of you,20
Red (Deluxe Edition),Red,2,Memorizing him was as,21
Red (Deluxe Edition),Red,2,Easy as knowing all the words to your old favorite song,22
