album_name,track_title,track_n,lyric,line
1989 (Deluxe),Welcome to New York,1,"Walking through a crowd, the village is aglow",1
1989 (Deluxe),Welcome to New York,1,Kaleidoscope of loud heartbeats under coats,2
1989 (Deluxe),Welcome to New York,1,Everybody here wanted something more,3
1989 (Deluxe),Welcome to New York,1,Searching for a sound we hadn't heard before,4
1989 (Deluxe),Welcome to New York,1,And it said,5
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, it's been waiting for you",6
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",7
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, it's been waiting for you",8
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",9
1989 (Deluxe),Welcome to New York,1,"It's a new soundtrack, I could dance to this beat, beat, forevermore",10
1989 (Deluxe),Welcome to New York,1,"The lights are so bright but they never blind me, me",11
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, it's been waiting for you",12
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",13
1989 (Deluxe),Welcome to New York,1,When we first dropped our bags on apartment floors,14
1989 (Deluxe),Welcome to New York,1,"Took our broken hearts, put them in a drawer",15
1989 (Deluxe),Welcome to New York,1,Everybody here was someone else before,16
1989 (Deluxe),Welcome to New York,1,And you can want who you want,17
1989 (Deluxe),Welcome to New York,1,Boys and boys and girls and girls,18
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, it's been waiting for you",19
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",20
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, it's been waiting for you",21
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",22
1989 (Deluxe),Welcome to New York,1,"It's a new soundtrack, I could dance to this beat, beat, forevermore",23
1989 (Deluxe),Welcome to New York,1,"The lights are so bright, but they never blind me, me",24
1989 (Deluxe),Welcome to New York,1,"Welcome to New York (New York), it's been waiting for you",25
1989 (Deluxe),Welcome to New York,1,"Welcome to New York, welcome to New York",26
1989 (Deluxe),Welcome to New York,1,"Like any great love, it keeps you guessing",27
1989 (Deluxe),Welcome to New York,1,"Like any real love, it's ever-changing",28
1989 (Deluxe),Welcome to New York,1,"Like any true love, it drives you crazy",29
1989 (Deluxe),Welcome to New York,1,"But you know you wouldn't change anything, anything, anything",30
