album_name,track_title,track_n,lyric,line
evermore (deluxe version),willow,1,I'm like the water when your ship rolled in that night,1
evermore (deluxe version),willow,1,"Rough on the surface, but you cut through like a knife",2
evermore (deluxe version),willow,1,And if it was an open-shut case,3
evermore (deluxe version),willow,1,I never would've known from that look on your face,4
evermore (deluxe version),willow,1,Lost in your current like a priceless wine,5
evermore (deluxe version),willow,1,"The more that you say, the less I know",6
evermore (deluxe version),willow,1,"Wherever you stray, I follow",7
evermore (deluxe version),willow,1,I'm begging for you to take my hand,8
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",9
evermore (deluxe version),willow,1,Life was a willow and it bent right to your wind,10
evermore (deluxe version),willow,1,"Head on the pillow, I could feel you sneakin' in",11
evermore (deluxe version),willow,1,As if you were a mythical thing,12
evermore (deluxe version),willow,1,Like you were a trophy or a champion ring,13
evermore (deluxe version),willow,1,And there was one prize I'd cheat to win,14
evermore (deluxe version),willow,1,"The more that you say, the less I know",15
evermore (deluxe version),willow,1,"Wherever you stray, I follow",16
evermore (deluxe version),willow,1,I'm begging for you to take my hand,17
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",18
evermore (deluxe version),willow,1,You know that my train could take you home,19
evermore (deluxe version),willow,1,Anywhere else is hollow,20
evermore (deluxe version),willow,1,I'm begging for you to take my hand,21
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",22
evermore (deluxe version),willow,1,Life was a willow and it bent right to your wind,23
evermore (deluxe version),willow,1,They count me out time and time again,24
evermore (deluxe version),willow,1,Life was a willow and it bent right to your wind,25
evermore (deluxe version),willow,1,But I come back stronger than a '90s trend,26
evermore (deluxe version),willow,1,"Wait for the signal, and I'll meet you after dark",27
evermore (deluxe version),willow,1,Show me the places where the others gave you scars,28
evermore (deluxe version),willow,1,Now this is an open-shut case,29
evermore (deluxe version),willow,1,I guess I should've known from the look on your face,30
evermore (deluxe version),willow,1,Every bait-and-switch was a work of art,31
evermore (deluxe version),willow,1,"The more that you say, the less I know",32
evermore (deluxe version),willow,1,"Wherever you stray, I follow",33
evermore (deluxe version),willow,1,I'm begging for you to take my hand,34
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",35
evermore (deluxe version),willow,1,You know that my train could take you home,36
evermore (deluxe version),willow,1,Anywhere else is hollow,37
evermore (deluxe version),willow,1,I'm begging for you to take my hand,38
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",39
evermore (deluxe version),willow,1,"The more that you say, the less I know",40
evermore (deluxe version),willow,1,"Wherever you stray, I follow",41
evermore (deluxe version),willow,1,I'm begging for you to take my hand,42
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",43
evermore (deluxe version),willow,1,You know that my train could take you home,44
evermore (deluxe version),willow,1,Anywhere else is hollow,45
evermore (deluxe version),willow,1,I'm begging for you to take my hand,46
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",47
evermore (deluxe version),willow,1,"Hey, that's my man",48
evermore (deluxe version),willow,1,That's my man,49
evermore (deluxe version),willow,1,"Yeah, that's my man",50
evermore (deluxe version),willow,1,Every bait-and-switch was a work of art,51
evermore (deluxe version),willow,1,That's my man,52
evermore (deluxe version),willow,1,"Hey, that's my man",53
evermore (deluxe version),willow,1,I'm begging for you to take my hand,54
evermore (deluxe version),willow,1,"Wreck my plans, that's my man",55
evermore (deluxe version),champagne problems,2,You booked the night train for a reason,1
evermore (deluxe version),champagne problems,2,So you could sit there in this hurt,2
evermore (deluxe version),champagne problems,2,Bustling crowds or silent sleepers,3
evermore (deluxe version),champagne problems,2,You're not sure which is worse,4
evermore (deluxe version),champagne problems,2,Because I dropped your hand while dancing,5
evermore (deluxe version),champagne problems,2,Left you out there standing,6
evermore (deluxe version),champagne problems,2,Crestfallen on the landing,7
evermore (deluxe version),champagne problems,2,Champagne problems,8
evermore (deluxe version),champagne problems,2,Your mom's ring in your pocket,9
evermore (deluxe version),champagne problems,2,My picture in your wallet,10
evermore (deluxe version),champagne problems,2,"Your heart was glass, I dropped it",11
evermore (deluxe version),champagne problems,2,Champagne problems,12
evermore (deluxe version),champagne problems,2,You told your family for a reason,13
evermore (deluxe version),champagne problems,2,You couldn't keep it in,14
evermore (deluxe version),champagne problems,2,Your sister splashed out on the bottle,15
evermore (deluxe version),champagne problems,2,Now no one's celebrating,16
evermore (deluxe version),champagne problems,2,"Dom Pérignon, you brought it",17
evermore (deluxe version),champagne problems,2,No crowd of friends applauded,18
evermore (deluxe version),champagne problems,2,Your hometown skeptics called it,19
evermore (deluxe version),champagne problems,2,Champagne problems,20
evermore (deluxe version),champagne problems,2,"You had a speech, you're speechless",21
evermore (deluxe version),champagne problems,2,Love slipped beyond your reaches,22
evermore (deluxe version),champagne problems,2,And I couldn't give a reason,23
evermore (deluxe version),champagne problems,2,Champagne problems,24
evermore (deluxe version),champagne problems,2,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,25
evermore (deluxe version),champagne problems,2,Your Midas touch on the Chevy door,26
evermore (deluxe version),champagne problems,2,November flush and your flannel cure,27
evermore (deluxe version),champagne problems,2,"""This dorm was once a madhouse""",28
evermore (deluxe version),champagne problems,2,"I made a joke, ""Well, it's made for me""",29
evermore (deluxe version),champagne problems,2,"How evergreen, our group of friends",30
evermore (deluxe version),champagne problems,2,Don't think we'll say that word again,31
evermore (deluxe version),champagne problems,2,And soon they'll have the nerve to deck the halls,32
evermore (deluxe version),champagne problems,2,That we once walked through,33
evermore (deluxe version),champagne problems,2,"One for the money, two for the show",34
evermore (deluxe version),champagne problems,2,I never was ready so I watch you go,35
evermore (deluxe version),champagne problems,2,Sometimes you just don't know the answer,36
evermore (deluxe version),champagne problems,2,'Til someone's on their knees and asks you,37
evermore (deluxe version),champagne problems,2,"""She would've made such a lovely bride",38
evermore (deluxe version),champagne problems,2,"What a shame she's fucked in the head,"" they said",39
evermore (deluxe version),champagne problems,2,But you'll find the real thing instead,40
evermore (deluxe version),champagne problems,2,She'll patch up your tapestry that I shred,41
evermore (deluxe version),champagne problems,2,And hold your hand while dancing,42
evermore (deluxe version),champagne problems,2,Never leave you standing,43
evermore (deluxe version),champagne problems,2,Crestfallen on the landing,44
evermore (deluxe version),champagne problems,2,With champagne problems,45
evermore (deluxe version),champagne problems,2,Your mom's ring in your pocket,46
evermore (deluxe version),champagne problems,2,Her picture in your wallet,47
evermore (deluxe version),champagne problems,2,You won't remember all my,48
evermore (deluxe version),champagne problems,2,Champagne problems,49
evermore (deluxe version),champagne problems,2,You won't remember all my,50
evermore (deluxe version),champagne problems,2,Champagne problems,51
evermore (deluxe version),​gold rush,3,"Gleaming, twinkling",1
evermore (deluxe version),​gold rush,3,Eyes like sinking ships on waters,2
evermore (deluxe version),​gold rush,3,"So inviting, I almost jump in",3
evermore (deluxe version),​gold rush,3,"But I don't like a gold rush, gold rush",4
evermore (deluxe version),​gold rush,3,I don't like anticipatin' my face in a red flush,5
evermore (deluxe version),​gold rush,3,I don't like that anyone would die to feel your touch,6
evermore (deluxe version),​gold rush,3,Everybody wants you,7
evermore (deluxe version),​gold rush,3,Everybody wonders what it would be like to love you,8
evermore (deluxe version),​gold rush,3,"Walk past, quick brush",9
evermore (deluxe version),​gold rush,3,"I don't like slow motion, double vision in rose blush",10
evermore (deluxe version),​gold rush,3,I don't like that falling feels like flying 'til the bone crush,11
evermore (deluxe version),​gold rush,3,Everybody wants you,12
evermore (deluxe version),​gold rush,3,But I don't like a gold rush,13
evermore (deluxe version),​gold rush,3,What must it be like to grow up that beautiful?,14
evermore (deluxe version),​gold rush,3,With your hair falling into place like dominoes,15
evermore (deluxe version),​gold rush,3,I see me padding across your wooden floors,16
evermore (deluxe version),​gold rush,3,With my Eagles t-shirt hanging from the door,17
evermore (deluxe version),​gold rush,3,"At dinner parties, I call you out on your contrarian shit",18
evermore (deluxe version),​gold rush,3,And the coastal town we wandered 'round had nеver seen a love as pure as it,19
evermore (deluxe version),​gold rush,3,And thеn it fades into the gray of my day-old tea,20
evermore (deluxe version),​gold rush,3,'Cause it could never be,21
evermore (deluxe version),​gold rush,3,"'Cause I don't like a gold rush, gold rush",22
evermore (deluxe version),​gold rush,3,I don't like anticipatin' my face in a red flush,23
evermore (deluxe version),​gold rush,3,I don't like that anyone would die to feel your touch,24
evermore (deluxe version),​gold rush,3,Everybody wants you,25
evermore (deluxe version),​gold rush,3,Everybody wonders what it would be like to love you,26
evermore (deluxe version),​gold rush,3,"Walk past, quick brush",27
evermore (deluxe version),​gold rush,3,"I don't like slow motion, double vision in rose blush",28
evermore (deluxe version),​gold rush,3,I don't like that falling feels like flying 'til the bone crush,29
