album_name,track_title,track_n,lyric,line
folklore (deluxe version),the 1,1,"I'm doing good, I'm on some new shit",1
folklore (deluxe version),the 1,1,"Been saying ""yes"" instead of ""no""",2
folklore (deluxe version),the 1,1,"I thought I saw you at the bus stop, I didn't though",3
folklore (deluxe version),the 1,1,I hit the ground running each night,4
folklore (deluxe version),the 1,1,I hit the Sunday matinée,5
folklore (deluxe version),the 1,1,You know the greatest films of all time were never made,6
folklore (deluxe version),the 1,1,"I guess you never know, never know",7
folklore (deluxe version),the 1,1,"And if you wanted me, you really should've showed",8
folklore (deluxe version),the 1,1,"And if you never bleed, you're never gonna grow",9
folklore (deluxe version),the 1,1,And it's alright now,10
folklore (deluxe version),the 1,1,"But we were something, don't you think so?",11
folklore (deluxe version),the 1,1,"Roaring twenties, tossing pennies in the pool",12
folklore (deluxe version),the 1,1,And if my wishes came true,13
folklore (deluxe version),the 1,1,It would've been you,14
folklore (deluxe version),the 1,1,"In my defense, I have none",15
folklore (deluxe version),the 1,1,For never leaving well enough alone,16
folklore (deluxe version),the 1,1,But it would've been fun,17
folklore (deluxe version),the 1,1,If you would've been the one,18
folklore (deluxe version),the 1,1,(Ooh),19
folklore (deluxe version),the 1,1,I have this dream you're doing cool shit,20
folklore (deluxe version),the 1,1,Having adventures on your own,21
folklore (deluxe version),the 1,1,You meet some woman on the internet and take her home,22
folklore (deluxe version),the 1,1,"We never painted by the numbers, baby",23
folklore (deluxe version),the 1,1,But we were making it count,24
folklore (deluxe version),the 1,1,You know the greatest loves of all time are over now,25
folklore (deluxe version),the 1,1,"I guess you never know, never know",26
folklore (deluxe version),the 1,1,And it's another day waking up alone,27
folklore (deluxe version),the 1,1,"But we were something, don't you think so?",28
folklore (deluxe version),the 1,1,"Roaring twenties, tossing pennies in the pool",29
folklore (deluxe version),the 1,1,And if my wishes came true,30
folklore (deluxe version),the 1,1,It would've been you,31
folklore (deluxe version),the 1,1,"In my defense, I have none",32
folklore (deluxe version),the 1,1,For never leaving well enough alone,33
folklore (deluxe version),the 1,1,But it would've been fun,34
folklore (deluxe version),the 1,1,If you would've been the one,35
folklore (deluxe version),the 1,1,"I, I, I persist and resist the temptation to ask you",36
folklore (deluxe version),the 1,1,If one thing had been different,37
folklore (deluxe version),the 1,1,Would everything be different today?,38
folklore (deluxe version),the 1,1,"We were something, don't you think so?",39
folklore (deluxe version),the 1,1,Rosé flowing with your chosen family,40
folklore (deluxe version),the 1,1,And it would've been sweet,41
folklore (deluxe version),the 1,1,If it could've been me,42
folklore (deluxe version),the 1,1,"In my defense, I have none",43
folklore (deluxe version),the 1,1,For digging up the grave another time,44
folklore (deluxe version),the 1,1,But it would've been fun,45
folklore (deluxe version),the 1,1,If you would've been the one,46
folklore (deluxe version),the 1,1,(Ooh),47
folklore (deluxe version),cardigan,2,"Vintage tee, brand new phone",1
folklore (deluxe version),cardigan,2,High heels on cobblestones,2
folklore (deluxe version),cardigan,2,"When you are young, they assume you know nothing",3
folklore (deluxe version),cardigan,2,"Sequin smile, black lipstick",4
folklore (deluxe version),cardigan,2,Sensual politics,5
folklore (deluxe version),cardigan,2,"When you are young, they assume you know nothing",6
folklore (deluxe version),cardigan,2,But I knew you,7
folklore (deluxe version),cardigan,2,Dancin' in your Levi's,8
folklore (deluxe version),cardigan,2,"Drunk under a streetlight, I",9
folklore (deluxe version),cardigan,2,I knew you,10
folklore (deluxe version),cardigan,2,Hand under my sweatshirt,11
