album_name,track_title,track_n,lyric,line
Speak Now (Deluxe),Mine,1,"You were in college, working part-time, waiting tables",1
Speak Now (Deluxe),Mine,1,Left a small town and never looked back,2
Speak Now (Deluxe),Mine,1,"I was a flight risk, with a fear of falling",3
Speak Now (Deluxe),Mine,1,"Wondering why we bother with love, if it never lasts",4
Speak Now (Deluxe),Mine,1,"I say, ""Can you believe it?""",5
Speak Now (Deluxe),Mine,1,As we're lying on the couch,6
Speak Now (Deluxe),Mine,1,"The moment, I could see it",7
Speak Now (Deluxe),Mine,1,"Yes, yes, I can see it now",8
Speak Now (Deluxe),Mine,1,"Do you remember, we were sitting there, by the water?",9
Speak Now (Deluxe),Mine,1,You put your arm around me for the first time,10
Speak Now (Deluxe),Mine,1,You made a rebel of a careless man's careful daughter,11
Speak Now (Deluxe),Mine,1,You are the best thing that's ever been mine,12
Speak Now (Deluxe),Mine,1,"Flash forward, and we're taking on the world together",13
Speak Now (Deluxe),Mine,1,And there's a drawer of my things at your place,14
Speak Now (Deluxe),Mine,1,You learn my secrets and you figure out why I'm guarded,15
Speak Now (Deluxe),Mine,1,You say we'll never make my parents' mistakes,16
Speak Now (Deluxe),Mine,1,But we got bills to pay,17
Speak Now (Deluxe),Mine,1,We got nothing figured out,18
Speak Now (Deluxe),Mine,1,When it was hard to take,19
Speak Now (Deluxe),Mine,1,"Yes, yes",20
Speak Now (Deluxe),Mine,1,This is what I thought about:,21
Speak Now (Deluxe),Mine,1,"Do you remember, we were sitting there, by the water?",22
Speak Now (Deluxe),Mine,1,You put your arm around me for the first time,23
Speak Now (Deluxe),Mine,1,You made a rebel of a careless man's careful daughter,24
Speak Now (Deluxe),Mine,1,You are the best thing that's ever been mine,25
Speak Now (Deluxe),Mine,1,Do you remember all the city lights on the water?,26
Speak Now (Deluxe),Mine,1,You saw me start to believe for the first time,27
Speak Now (Deluxe),Mine,1,You made a rebel of a careless man's careful daughter,28
Speak Now (Deluxe),Mine,1,You are the best thing that's ever been mine,29
Speak Now (Deluxe),Mine,1,"And I remember that fight, 2:30 AM",30
Speak Now (Deluxe),Mine,1,As everything was slipping right out of our hands,31
Speak Now (Deluxe),Mine,1,"I ran out, crying, and you followed me out into the street",32
Speak Now (Deluxe),Mine,1,Braced myself for the goodbye,33
Speak Now (Deluxe),Mine,1,'Cause that's all I've ever known,34
Speak Now (Deluxe),Mine,1,"Then, you took me by surprise",35
Speak Now (Deluxe),Mine,1,"You said, ""I'll never leave you alone.""",36
Speak Now (Deluxe),Mine,1,"You said, ""I remember how we felt, sitting by the water",37
Speak Now (Deluxe),Mine,1,"And every time I look at you, it's like the first time",38
Speak Now (Deluxe),Mine,1,I fell in love with a careless man's careful daughter,39
Speak Now (Deluxe),Mine,1,"She is the best thing that's ever been mine""",40
Speak Now (Deluxe),Mine,1,"Hold on, make it last",41
Speak Now (Deluxe),Mine,1,"Hold on, never turn back",42
Speak Now (Deluxe),Mine,1,You made a rebel of a careless man's careful daughter,43
Speak Now (Deluxe),Mine,1,You are the best thing that's ever been mine,44
Speak Now (Deluxe),Mine,1,"Yeah, yeah",45
Speak Now (Deluxe),Mine,1,Do you believe it? (Hold on),46
Speak Now (Deluxe),Mine,1,We're gonna make it now (Hold on),47
Speak Now (Deluxe),Mine,1,And I can see it,48
Speak Now (Deluxe),Mine,1,"Yeah, yeah",49
Speak Now (Deluxe),Mine,1,I can see it now (See it now),50
Speak Now (Deluxe),Sparks Fly,2,The way you move is like a full on rainstorm,1
Speak Now (Deluxe),Sparks Fly,2,And I'm a house of cards,2
Speak Now (Deluxe),Sparks Fly,2,You're the kind of reckless,3
Speak Now (Deluxe),Sparks Fly,2,That should send me running,4
Speak Now (Deluxe),Sparks Fly,2,But I kinda know that I won't get far,5
Speak Now (Deluxe),Sparks Fly,2,And you stood there in front of me,6
Speak Now (Deluxe),Sparks Fly,2,Just close enough to touch,7
Speak Now (Deluxe),Sparks Fly,2,Close enough to hope you couldn't see,8
Speak Now (Deluxe),Sparks Fly,2,What I was thinking of,9
Speak Now (Deluxe),Sparks Fly,2,Drop everything now,10
Speak Now (Deluxe),Sparks Fly,2,Meet me in the pouring rain,11
Speak Now (Deluxe),Sparks Fly,2,Kiss me on the sidewalk,12
Speak Now (Deluxe),Sparks Fly,2,Take away the pain,13
Speak Now (Deluxe),Sparks Fly,2,'Cause I see sparks fly whenever you smile,14
Speak Now (Deluxe),Sparks Fly,2,"Get me with those green eyes, baby, as the lights go down",15
Speak Now (Deluxe),Sparks Fly,2,Give me something that'll haunt me when you're not around,16
Speak Now (Deluxe),Sparks Fly,2,'Cause I see sparks fly whenever you smile,17
Speak Now (Deluxe),Sparks Fly,2,My mind forgets to remind me,18
Speak Now (Deluxe),Sparks Fly,2,You're a bad idea,19
Speak Now (Deluxe),Sparks Fly,2,You touch me once and it's really something,20
Speak Now (Deluxe),Sparks Fly,2,You find I'm even better than you imagined I would be,21
Speak Now (Deluxe),Sparks Fly,2,I'm on my guard for the rest of the world,22
